BWI,PWM,86,235,1948
DTW,TVC,62,205,1505
IMT,RHI,41,164,554
MSP,IMT,69,304,662
MCI,DLH,91,406,1
MCI,MSY,109,286,662
BNA,MCI,88,258,2151
MCI,LNK,51,130,1
IAD,SAV,104,417,171
SFO,HDN,137,344,26
SFO,KOA,308,856,1369
SFO,SBP,62,156,2025
BUR,SFO,79,280,3088
SFO,OTH,91,414,477
SFO,MMH,66,240,262
SFO,CEC,91,261,348
SFO,LIH,316,804,856
SFO,RDD,65,260,1412
SJC,SNA,71,257,5351
SNA,SMF,80,202,4226
MSP,ASE,150,395,42
ORD,BIS,131,415,645
